game,date,opponent,made_3,attempt_3,outcome,home,season,harden,paul
1,10/17/2017,GSW,15,41,W,0,regular,36:24,33:04
2,10/18/2017,SAC,12,45,W,0,regular,37:46,0
3,10/21/2017,DAL,11,47,W,1,regular,30:45,0
4,10/23/2017,MEM,9,38,L,1,regular,35:08,0
5,10/25/2017,PHI,12,39,W,0,regular,41:26,0
6,10/27/2017,CHA,22,57,W,0,regular,36:56,0
7,10/28/2017,MEM,14,38,L,0,regular,33:39,0
8,10/30/2017,PHI,13,47,L,1,regular,38:27,0
9,11/01/2017,NYK,19,52,W,0,regular,34:47,0
10,11/03/2017,ATL,16,47,W,0,regular,30:56,0
11,11/05/2017,UTA,23,39,W,1,regular,35:15,0
12,11/09/2017,CLE,16,46,W,1,regular,42:41,0
13,11/11/2017,MEM,16,45,W,1,regular,37:35,0
14,11/12/2017,IND,17,47,W,0,regular,33:34,0
15,11/14/2017,TOR,12,39,L,1,regular,39:22,0
16,11/16/2017,PHO,21,44,W,0,regular,20:45,34:37
17,11/18/2017,MEM,18,43,W,0,regular,35:47,24:12
18,11/22/2017,DEN,18,41,W,1,regular,31:38,27:31
19,11/25/2017,NYK,18,47,W,1,regular,36:52,30:53
20,11/27/2017,BRN,20,50,W,1,regular,35:47,30:59
21,11/29/2017,IND,18,40,W,1,regular,35:19,29:33
22,12/03/2017,LAL,14,37,W,0,regular,35:18,32:57
23,12/07/2017,UTA,18,42,W,0,regular,35:09,36:43
24,12/09/2017,POR,10,25,W,0,regular,37:19,34:58
25,12/11/2017,NOP,17,45,W,1,regular,34:57,32:30
26,12/13/2017,CHA,17,45,W,1,regular,31:15,35:07
27,12/15/2017,SAS,18,50,W,1,regular,33:01,32:10
28,12/16/2017,MIL,11,35,W,1,regular,39:12,36:03
29,12/18/2017,UTA,17,43,W,1,regular,37:55,34:34
30,12/20/2017,LAL,17,42,L,1,regular,43:18,25:07
31,12/22/2017,LAC,17,40,L,1,regular,41:24,0
